corpus,filename,source_url,download_date,page_count
jfk,124-10292-10058.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-10292-10058.pdf,2026-03-27,0
jfk,124-10296-10122.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-10296-10122.pdf,2026-03-27,0
jfk,124-10306-10039.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-10306-10039.PDF,2026-03-27,0
jfk,124-10371-10116.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-10371-10116.PDF,2026-03-27,0
jfk,124-10371-10131.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-10371-10131.PDF,2026-03-27,0
jfk,124-90006-10112.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90006-10112.PDF,2026-03-27,0
jfk,124-90039-10003.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90039-10003.PDF,2026-03-27,0
jfk,124-90039-10004.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90039-10004.PDF,2026-03-27,0
jfk,124-90039-10005.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90039-10005.PDF,2026-03-27,0
jfk,124-90055-10018.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90055-10018.PDF,2026-03-27,0
jfk,124-90055-10019.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90055-10019.PDF,2026-03-27,0
jfk,124-90055-10279.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90055-10279.PDF,2026-03-27,0
jfk,124-90056-10006.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90056-10006.PDF,2026-03-27,0
jfk,124-90056-10007.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90056-10007.PDF,2026-03-27,0
jfk,124-90056-10011.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90056-10011.PDF,2026-03-27,0
jfk,124-90084-10090.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90084-10090.PDF,2026-03-27,0
jfk,124-90086-10117.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90086-10117.PDF,2026-03-27,0
jfk,124-90086-10163.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90086-10163.PDF,2026-03-27,0
jfk,124-90086-10169.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90086-10169.PDF,2026-03-27,0
jfk,124-90086-10234.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90086-10234.PDF,2026-03-27,0
jfk,124-90086-10240.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90086-10240.PDF,2026-03-27,0
jfk,124-90086-10241.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90086-10241.PDF,2026-03-27,0
jfk,124-90086-10246.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90086-10246.PDF,2026-03-27,0
jfk,124-90088-10093.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90088-10093.pdf,2026-03-27,0
jfk,124-90096-10294.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90096-10294.PDF,2026-03-27,0
jfk,124-90102-10174.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90102-10174.PDF,2026-03-27,0
jfk,124-90103-10092.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90103-10092.pdf,2026-03-27,0
jfk,124-90104-10073.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90104-10073.PDF,2026-03-27,0
jfk,124-90104-10087.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90104-10087.PDF,2026-03-27,0
jfk,124-90104-10111.pdf,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90104-10111.pdf,2026-03-27,0
jfk,124-90104-10113.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90104-10113.PDF,2026-03-27,0
jfk,124-90120-10036.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90120-10036.PDF,2026-03-27,0
jfk,124-90137-10052.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90137-10052.PDF,2026-03-27,0
jfk,124-90141-10009.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90141-10009.PDF,2026-03-27,0
jfk,124-90141-10015.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90141-10015.PDF,2026-03-27,0
jfk,124-90141-10027.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90141-10027.PDF,2026-03-27,0
jfk,124-90146-10081.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/124-90146-10081.PDF,2026-03-27,0
jfk,144-10001-10339.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/144-10001-10339.PDF,2026-03-27,0
jfk,157-10014-10187.PDF,https://www.archives.gov/files/research/jfk/releases/2025/0318/157-10014-10187.PDF,2026-03-27,0
